id;nombre
1154;African American authors
1155;Antiques
1156;Trunks (Luggage)
1157;Inquisition
1158;Industrial management
1159;Women painters
1160;Corporate image
1161;Arkansas
1162;Hebrew language
1163;Arts and crafts movement
1164;Caldecott Medal
1165;Quiltmakers
1166;Russian literature
1167;Mathematical recreations
1168;Friendship
1169;Computation laboratories
1170;Decision making
1171;Adjustment disorders
1172;Medicine and psychology
1173;Great Smoky Mountains (N.C. and Tenn.)
1174;Ethics
1175;Misconduct in office
1176;Backpack fishing
1177;Counseling
1178;Acquisitions (Libraries)
1179;African American baseball players
1180;Historic sites
1181;Beauty contests
1182;Real estate investment
1183;Deerflies
1184;Lettering
1185;Birthdays
1186;Bible. N.T. Matthew
1187;Congregational churches
1188;Greene County (Pa.)
1189;Earth sciences
1190;Adult children of alcoholics
1191;Amazon River
1192;Religious fiction
1193;Indian textile fabrics
1194;Bull riders
1195;Police
1196;Burlesque (Theater)
1197;Bengal (India)
1198;Building
1199;Ocean
1200;Orphanages
1201;Nigeria
1202;Evangelistic sermons
1203;Secrets
1204;Motion picture plays
1205;Knowledge
1206;Caribbean literature
1207;Electronic commerce
1208;Ballet
1209;Gospel music
1210;Fruit wines
1211;Essex County (Mass.)
1212;Cake decorating
1213;Massage
1214;Jet transports
1215;Paper
1216;Ethiopia
1217;Blade runner (Motion picture)
1218;Lattices
1219;Furniture
1220;Kidneys
1221;Bankruptcy
1222;Language arts (Elementary)
1223;Hypnotism
1224;Avignon (France)
1225;Folk dancing
1226;Prostitution
1227;Biology
1228;Human beings
1229;Tahiti
1230;Knitting
1231;Activity programs in education
1232;Chinese fiction
1233;Computer games
1234;Industrial policy
1235;Flags
1236;Spouses of clergy
1237;Singers
1238;Byzantine Empire
1239;Strategic planning
1240;Asiatic elephant
1241;Moon
1242;Motion picture authorship
1243;Animal heroes
1244;Computer networks
1245;Handloading of ammunition
1246;North Dakota
1247;Computer viruses
1248;Corporate culture
1249;Swans Island
1250;Books of hours
1251;Ethnology
1252;Gene mapping
1253;Perl (Computer program language)
1254;Abortion
1255;Preaching
1256;Jewish converts
1257;Microsoft FrontPage
1258;Running
1259;Object-oriented programming (Computer science)
1260;Electronic data processing personnel
1261;Computer drawing
1262;Infantry
1263;Aikido
